iter,rsq,rank,noise,N,b,items,is_bibd
225,0.9934193170917293,TRUE,0.7525495351292193,799,20,9,FALSE
226,0.9890692854367626,FALSE,1.0351712643168867,1119,15,14,FALSE
227,0.8868234127269093,FALSE,0.9469447517767549,464,8,18,FALSE
228,0.9623829968971085,FALSE,1.3679841407574713,1347,14,20,FALSE
229,0.9880048437268186,FALSE,0.6624580866191536,1667,8,10,FALSE
230,0.8588884528080305,FALSE,0.8382063063327223,569,8,15,FALSE
231,0.9262508954079807,FALSE,1.0715023779775947,475,10,19,FALSE
232,0.9182582337080892,FALSE,0.927424879046157,1364,10,19,FALSE
233,0.9966888324674884,FALSE,1.2510775825940073,1223,19,9,FALSE
234,0.8162059623043809,FALSE,1.1651063456665725,468,9,20,FALSE
235,0.9913158724063356,FALSE,0.9704497344791889,887,20,17,FALSE
236,0.9941865304912628,FALSE,1.3487561151850969,1257,18,10,FALSE
237,0.9508709674819625,FALSE,0.7216605511493981,1346,9,14,FALSE
238,0.9937586526711182,TRUE,1.0880679457914084,643,18,12,FALSE
239,0.9721807206655921,TRUE,0.8172014567535371,669,8,9,FALSE
240,0.989826532055072,FALSE,1.196701240958646,931,12,13,FALSE
241,0.9595167132234128,FALSE,1.0345614321995527,1831,11,13,FALSE
242,0.9911500306325884,TRUE,1.2740175407379866,1202,12,8,FALSE
243,0.9784023787061304,FALSE,0.6209550572093576,1397,12,14,FALSE
244,0.9312056257704876,FALSE,1.0640159179456532,1718,8,19,FALSE
245,0.9482124855092109,FALSE,1.1749833405483514,1240,15,18,FALSE
246,0.9938962049511102,TRUE,1.2912047998979688,1137,10,10,FALSE
247,0.9909200234291681,FALSE,1.2924866350367665,969,20,9,FALSE
248,0.9948125062825706,FALSE,1.3200228225905448,538,20,10,FALSE
249,0.975693664424987,FALSE,0.5120907076634467,1922,20,13,FALSE
250,0.9797415950867627,FALSE,0.5623268666677177,815,12,15,FALSE
251,0.9900947571750441,FALSE,0.7627842009533197,1747,8,9,FALSE
252,0.9957325858143038,FALSE,0.8645897954702377,1626,11,8,FALSE
253,0.9841575656406645,FALSE,1.3202618744689971,750,13,15,FALSE
254,0.8326295397009899,FALSE,0.5065934003796428,772,10,19,FALSE
255,0.9972342009700624,FALSE,1.3243059201631695,437,20,8,FALSE
256,0.9887684109321763,FALSE,1.4264767884742469,1320,18,12,FALSE
257,0.9337992993730979,FALSE,0.7382135319057852,1299,13,18,FALSE
258,0.9907938808147774,FALSE,1.2742025631014258,1962,10,8,FALSE
259,0.9867953158349237,FALSE,0.9459036490879953,967,10,11,FALSE
260,0.979856190620504,FALSE,0.6343773694243282,496,20,10,FALSE
261,0.98576442794748,FALSE,1.3738439565058798,1765,19,16,FALSE
262,0.9974356603506087,TRUE,1.0646488554775715,1344,13,9,FALSE
263,0.9992665664632026,FALSE,1.367517467821017,1197,14,8,TRUE
264,0.9818587718417826,FALSE,1.2534946508239955,792,20,20,FALSE
265,0.9986653650176591,TRUE,1.0327519332058728,1654,15,8,FALSE
266,0.9932722714953331,TRUE,1.0971033666282892,381,17,8,FALSE
267,0.9886160253571005,FALSE,1.0473050579894334,1037,19,17,FALSE
268,0.9765611679215525,FALSE,1.3830880967434496,1178,11,14,FALSE
269,0.9456935025138482,FALSE,0.7324197965208441,569,9,11,FALSE
270,0.9677597525007923,FALSE,0.5516476859338582,942,20,9,FALSE
271,0.9410703751158771,FALSE,0.9100360029842705,939,9,13,FALSE
272,0.9870672950150233,FALSE,1.201253097737208,647,18,15,FALSE
273,0.9252371887638005,FALSE,0.9449695609509945,492,13,20,FALSE
274,0.9641641208381022,FALSE,1.1945084272883832,473,16,18,FALSE
275,0.9931763963196104,FALSE,1.3277976009994745,1587,12,9,FALSE
276,0.8982863662023117,FALSE,0.7385099590755999,641,11,20,FALSE
277,0.9413912491853609,FALSE,1.1073113523889333,502,14,18,FALSE
278,0.9908452430669884,FALSE,0.8005100334994495,1553,16,14,FALSE
279,0.9636093844992212,FALSE,0.7703603622503579,438,18,20,FALSE
280,0.9766560081914275,FALSE,0.7207035073079169,1826,14,15,FALSE
281,0.9923029452945072,FALSE,1.2878646866884083,1731,17,16,FALSE
282,0.9876458360172218,FALSE,1.05358369438909,1447,16,15,FALSE
283,0.9776830995326246,FALSE,0.9361027679406106,356,8,9,FALSE
284,0.9533825986039102,FALSE,0.857054109685123,1456,20,20,FALSE
285,0.9769875832391506,FALSE,0.5517935638781637,510,18,17,FALSE
286,0.9965880651410834,FALSE,1.216128644067794,1277,14,9,FALSE
287,0.9276511701513829,FALSE,0.6764515996910632,1665,11,20,FALSE
288,0.9902064602535093,FALSE,1.1096623335033655,674,16,11,FALSE
289,0.9602366285012144,FALSE,0.6032855622470379,1815,9,8,FALSE
290,0.8772105277386792,FALSE,0.6907525965943933,1333,9,18,FALSE
291,0.9067897043131066,FALSE,1.347601912682876,503,10,18,FALSE
292,0.9712936952726087,FALSE,0.8702110578306019,1791,20,13,FALSE
293,0.9001698730452399,FALSE,0.8635178687982261,392,12,20,FALSE
294,0.8335069295413152,FALSE,0.5112506032455713,770,8,18,FALSE
295,0.9919748539871068,FALSE,1.249334815889597,1919,12,10,FALSE
296,0.9842629860437155,TRUE,0.5999311588238925,1628,16,8,FALSE
297,0.9897452033087838,FALSE,0.8719024751335382,1661,18,11,FALSE
298,0.9862136602171939,FALSE,1.1000202442519367,1298,16,12,FALSE
299,0.9783235863480318,FALSE,1.156888576457277,1674,19,17,FALSE
300,0.9864382797411693,TRUE,0.7573323049582541,776,19,13,FALSE
301,0.9897654923349395,FALSE,1.285416905535385,1858,16,15,FALSE
302,0.9385711434495861,FALSE,0.8745655766688287,955,19,20,FALSE
303,0.9832330897492898,FALSE,1.1594406629446894,445,14,11,FALSE
304,0.9624227725972732,FALSE,0.5447224050294608,1683,9,13,FALSE
305,0.9965470611557907,TRUE,1.1425965572707355,1429,17,8,FALSE
306,0.9962724881860688,TRUE,1.4852544630412012,1022,19,13,FALSE
307,0.96919526732999,FALSE,1.4774630398023874,1474,14,17,FALSE
308,0.99253232042653206,TRUE,0.9201752091757953,1135,13,13,TRUE
309,0.9521384925303654,FALSE,1.197537463158369,1759,12,19,FALSE
310,0.9689513702232624,TRUE,0.7555783321149647,646,13,15,FALSE
311,0.9866508037056244,FALSE,0.7952834623865783,1036,10,10,FALSE
312,0.9872524752639328,FALSE,0.5697784470394254,1855,18,12,FALSE
313,0.9874334160824452,TRUE,1.288124279351905,1937,9,8,FALSE
314,0.9824486857871444,TRUE,0.6246523866429925,664,10,8,FALSE
315,0.979120713736007,FALSE,0.6050129369832575,1927,19,17,FALSE
316,0.9865854848533105,FALSE,0.9493489400483668,1070,19,14,FALSE
317,0.9784411115559307,FALSE,0.7053818523418158,1626,15,15,FALSE
318,0.989352018744379,FALSE,1.046939370688051,1260,14,14,FALSE
319,0.9366155672509553,FALSE,1.3154467076528817,1455,8,18,FALSE
320,0.9090945775098814,FALSE,1.3337102576624602,1785,10,15,FALSE
321,0.9613178722188994,FALSE,1.2152545528952032,782,11,14,FALSE
322,0.9443055681048214,FALSE,0.5247055150102824,863,14,19,FALSE
323,0.9841601797084383,FALSE,0.6310348827391863,699,18,12,FALSE
324,0.9672935448717321,FALSE,1.2258865581825376,939,9,18,FALSE
325,0.9754740754992667,FALSE,0.8106801335234195,543,20,14,FALSE
326,0.9536837989179319,FALSE,1.2721262129489332,510,13,18,FALSE
327,0.984539606666052,FALSE,0.89623070997186,752,18,16,FALSE
328,0.9876121402942996,TRUE,0.9207220079842955,795,15,12,FALSE
329,0.990234933480333,FALSE,0.7683454244397581,1032,12,12,FALSE
330,0.8391333300104855,FALSE,0.5154905838426203,1498,8,16,FALSE
331,0.9934203898721591,FALSE,1.4688673596829176,306,17,13,FALSE
332,0.9972215357411682,FALSE,1.4586181943304837,1251,20,16,FALSE
333,0.9889534955302977,TRUE,1.1232907453086227,1853,11,8,FALSE
334,0.9843558043394095,FALSE,0.8923575875815004,1527,20,19,FALSE
335,0.9792050625202028,FALSE,1.039260029559955,341,15,16,FALSE
336,0.9682357059976627,FALSE,0.5232438824605197,690,19,14,FALSE
337,0.9878816354533403,FALSE,0.9039598861709237,1256,20,15,FALSE
338,0.9949110627976154,FALSE,1.439134679036215,408,19,16,FALSE
339,0.9863437637577022,FALSE,0.7890407543163747,1670,11,13,FALSE
340,0.988583595800382,FALSE,1.1871627033688128,1176,16,14,FALSE
341,0.9470521827915571,FALSE,0.6613117393571883,1944,18,15,FALSE
342,0.942228478208278,FALSE,0.5580437048338354,1067,10,15,FALSE
343,0.9882379947335412,FALSE,1.0190747594460845,1314,8,10,FALSE
344,0.8977353574047507,FALSE,0.9710072402376682,711,8,16,FALSE
345,0.9927662975552205,FALSE,0.790470551000908,1679,19,9,FALSE
346,0.9877957146444262,FALSE,0.8985846694558859,1179,20,13,FALSE
