iter,rsq,rank,noise,N,b,k,pairs_avg,pairs_var,items_var,is_bibd
156,0.9937140585997503,FALSE,0.9885819882620126,558,14,5,1,0.26906426906426906,0.2564102564102564,FALSE
157,0.9452502172972285,FALSE,0.7139868992380798,870,14,5,1,0.2430902430902431,0.2564102564102564,FALSE
158,0.9916381332147413,TRUE,0.6414852947928011,352,11,4,0.8333333333333334,0.015384615384615385,0.2564102564102564,FALSE
159,0.958855804007918,FALSE,1.1123644802719355,1319,14,3,0.5384615384615384,0,0.19230769230769232,FALSE
160,0.9129512069534794,FALSE,1.3701556636951864,1099,10,3,0.38461538461538464,0,0.23076923076923078,FALSE
161,0.9876409657165764,FALSE,1.2961027154233307,1078,12,5,0.9871794871794872,0.2761449077238551,0.2564102564102564,FALSE
162,0.9592899314178419,FALSE,0.6660446892492473,1060,11,5,1,0.323010323010323,0.19230769230769232,FALSE
163,0.9642376826963132,TRUE,0.5880465258378536,1821,13,4,1,0,0,TRUE
164,0.9765193026209099,FALSE,1.3308445138391107,964,11,4,0.8333333333333334,0.015384615384615385,0.2564102564102564,FALSE
165,0.971986569456999,FALSE,0.8816386393737048,799,16,5,1,0.15318015318015318,0.14102564102564102,FALSE
166,0.9865120080128981,FALSE,1.03427306516096,726,15,5,1,0.2017982017982018,0.19230769230769232,FALSE
167,0.9930007523828702,FALSE,1.4313559881411493,1066,13,5,1,0.22510822510822512,0,FALSE
168,0.9719138306059922,FALSE,1.3169719148427248,1700,11,5,0.9871794871794872,0.3007518796992481,0.19230769230769232,FALSE
169,0.98618897964168,FALSE,1.1295308533590287,504,13,5,1,0.22510822510822512,0,FALSE
170,0.9835473514145051,FALSE,0.7099673170596361,738,13,4,1,0,0,TRUE
171,0.9883615321555077,FALSE,1.3557774955406785,1059,10,4,0.7692307692307693,0,0.07692307692307693,FALSE
172,0.9960667010503118,FALSE,1.2746332676615566,1088,13,4,1,0,0,TRUE
173,0.9816301559136602,FALSE,1.439628555206582,1917,10,5,0.9743589743589743,0.29894736842105263,0.14102564102564102,FALSE
174,0.9416204928823088,FALSE,1.08619782095775,966,14,3,0.5384615384615384,0,0.19230769230769232,FALSE
175,0.9860464132057417,FALSE,0.5340576355811208,557,16,5,1,0.15318015318015318,0.14102564102564102,FALSE
176,0.9378157275688237,FALSE,0.801132614724338,778,12,3,0.46153846153846156,0,0.19230769230769232,FALSE
177,0.9785879536540512,FALSE,0.8928167235571891,1158,16,3,0.6153846153846154,0,0.23076923076923078,FALSE
178,0.9843681641614989,FALSE,0.7447699203621596,589,13,5,1,0.22510822510822512,0,FALSE
179,0.9868457147444171,FALSE,0.9124165198300034,1342,11,4,0.8333333333333334,0.015384615384615385,0.2564102564102564,FALSE
180,0.9914542793272254,TRUE,0.9155640457756817,1910,11,4,0.8333333333333334,0.015384615384615385,0.2564102564102564,FALSE
181,0.9705420811342907,FALSE,1.1871748839039356,311,10,5,0.9743589743589743,0.29894736842105263,0.14102564102564102,FALSE
182,0.9435590180037017,FALSE,1.2437730540987104,1577,16,3,0.6153846153846154,0,0.23076923076923078,FALSE
183,0.9562208438553812,FALSE,0.5752662897575647,805,13,3,0.5,0,0,FALSE
184,0.9686823725345676,FALSE,0.6348832356743515,920,12,4,0.8846153846153846,0.04219948849104859,0.23076923076923078,FALSE
